,season_teams_count,position_class_team_1,position_class_team_2,diff_points_class,team_1_xg90_performance,team_2_xg90_performance,team_1_xga90_performance,team_2_xga90_performance,team_1_tsr_avg,team_2_tsr_avg,team1_all_classic_xgsh,team1_all_classic_xgash,team1_all_classic_gdxgd,team1_all_classic_wins,team1_all_classic_draw,team1_all_classic_defeat,team1_all_xg90_draw_xgxga,team1_all_xg90_zero_xgxga,team1_all_xg90_com_xgxga,team2_all_classic_xgd,team2_all_classic_gdxgd,team2_all_classic_xp,team2_all_classic_minutes,team2_all_xg90_draw_xga90,team2_all_xg90_draw_xgxga,team2_all_xg90_cxp_xg90,team2_all_xg90_cop_xg90,team2_all_five_draw_xg90,team_1_points_difference4,team_2_points_difference4,team_1_xg90_performance_diff4,team_2_xg90_performance_diff4,team_1_xga90_performance_diff4,team_2_xga90_performance_diff4,team_1_lucky_l4,team_2_lucky_l4,odds_open_win1,odds_open_draw,odds_open_win2,odds_open_tm25,odds_open_tb25,odds_close_win1,odds_close_draw,odds_close_win2,odds_close_tm25,odds_close_tb25,result_output
,37,B,G,F1,1.192.534,8.053.857,5.956.973,11.572.412,53.014.805,44.764.782,0.1,0.07,-0.7,16,15,4,2.08,2.17,0.58,-15.8,-0.2,0,3337,1.03,0.61,1.58,0.87,0.77,-27.777.753,-43.548.386,-19.208.652,-7.619.857,3.490.944,47.806.828,109.457.016,4.444.878,1.403,4.25,9.72,1.609,2.35,1.152,7.04,23.99,1.97,1.854,2
,37,D,F,C1,12.870.578,99.330.515,11.012.139,13.571.143,5.663.409,446.174,0.11,0.11,-3,14,6,15,1.72,1.56,0.94,-18.2,3.2,0,3334,1.17,0.66,0.24,0.74,0.37,-45.312.504,-1.025.641,16.325.938,11.794.968,-18.481.234,22.758.774,-1.466.977,8.174.181,1.54,3.91,6.86,1.657,2.25,1.427,4.38,8.2,1.813,2.03,0
,37,H,C,F2,5.577.741,101.479,10.646.949,7.176.179,38.762.894,52.006.516,0.08,0.1,5.4,3,18,14,0.35,0.36,1.62,3.8,5.2,0,3368,0.54,1.1,0.57,0.75,0.23,-6.759.259,-45.454.526,-25.671.217,13.060.405,-8.938.853,-421.606,-750.641,4.603.356,3.47,2.78,2.53,1.436,2.81,5.82,2.75,1.952,1.333,3.31,1
,37,E,D,B2,10.946.854,111.113,12.590.026,922.943,51.549.118,5.184.977,0.1,0.11,-7.3,10,13,12,1.05,1.13,1.59,19.4,-11.4,0,3322,0.75,1.4,3.5,0.57,0.95,-59.302.322,9.374.997,-33.619.183,-35.950.966,23.930.426,-28.492.256,-76.289.356,-2.132.754,2.24,3.1,3.62,1.574,2.42,2.53,3.38,2.83,1.74,2.12,1
,37,A,D,E1,12.806.668,11.918.541,6.144.586,10.473.278,53.867.516,45.044.247,0.13,0.09,0.4,18,11,6,1.96,1.83,2.54,6.4,-2.4,0,3333,0.79,1.06,0.85,1.11,0.47,21.153.849,-42.934.784,7.925.297,-27.885.092,-6.768.478,50.841.045,-22.562.367,-22.466.129,1.595,3.7,6.58,1.602,2.36,1.375,4.47,9.99,1.757,2.09,1
,37,C,F,E1,12.495.676,9.018.577,9.503.662,12.753.928,48.482.822,46.804.558,0.09,0.09,8.6,14,11,10,1.02,1.13,0.97,-12.4,-1.6,0,3350,1.15,0.54,0.17,0.69,0.52,-9.433.942,9.374.999,-42.158.672,13.800.197,29.396.074,3.257.411,10.437.961,32.703.143,2.11,3.13,3.95,1.549,2.49,1.694,3.4,6.08,1.558,2.46,1
,37,E,A,F2,8.022.099,13.353.388,11.259.325,6.478.311,4.837.769,49.214.115,0.1,0.1,-12.5,12,7,16,1.07,0.97,1.53,18.5,5.5,0,3345,0.51,1.87,1.33,0.94,1.19,-59.302.322,36.184.158,-1.993.802,28.161.768,40.601.414,-13.342.593,36.157.155,16.696.769,3.17,2.69,2.81,1.374,3.08,2.88,2.77,2.98,1.434,2.82,2
,37,D,C,D2,12.317.396,9.975.794,10.728.438,86.030.114,44.057.247,4.885.536,0.08,0.09,2.2,11,11,13,0.86,0.98,1.24,7.7,-3.7,0,3329,0.69,1.41,1.14,0.79,1.31,-5.681.853,53.508.778,-1.994.609,32.126.064,13.173.445,-21.610.476,6.008.664,3.721.541,2.27,2.92,3.82,1.48,2.69,3.21,2.61,2.87,1.425,2.85,1
,37,C,E,D1,98.115.844,112.389,7.702.119,15.345.168,5.253.874,44.065.144,0.09,0.09,4.9,13,15,7,1.33,1.12,0.75,-9.7,-3.3,0,3318,0.96,1.08,0.83,0.59,1.18,13.425.924,67.073.183,16.641.195,64.172.907,6.503.826,6.663.349,-1.092.909,-22.859.347,1.735,3.4,5.64,1.497,2.63,1.675,3.43,6.21,1.588,2.39,1
,37,D,F,D1,13.194.703,9.585.916,12.197.129,12.828.355,49.722.748,46.846.443,0.09,0.11,9.6,12,11,12,0.66,0.66,1.06,-3,-9,0,3361,0.73,1.22,1.48,0.86,0.74,3.031.915,18.243.244,14.997.109,-13.946.279,-21.945.004,-63.903.627,-38.891.065,13.109.124,2.03,3.2,4.16,1.571,2.43,1.787,3.31,5.37,1.588,2.39,1
,37,E,F,C1,96.701.646,9.046.201,95.029.837,13.402.928,4.649.744,43.922.424,0.1,0.09,1.6,11,11,13,1.12,1.16,0.78,-8.1,-6.9,0,3329,1,0.62,1.61,1.77,0.57,-20.454.548,7.013.888,14.130.449,-26.136.775,7.801.661,-48.039.772,-18.104.541,15.341.802,2.12,3.12,3.96,1.555,2.47,2.05,3.01,4.42,1.5,2.62,2
,37,C,C,B2,9.377.014,11.919.432,8.178.253,80.777.436,4.714.246,5.259.874,0.12,0.1,-6.1,15,9,11,1.56,1.67,1.06,2.6,11.4,0,3376,0.61,1.55,0.6,0.71,1.34,13.425.924,-12.500.002,-8.118.564,8.946.223,15.647.732,38.144.398,2.653.686,-6.324.245,2.2,2.98,3.93,1.478,2.69,1.456,3.88,9.35,1.529,2.54,1
,37,E,F,A1,10.436.776,10.659.163,10.445.322,1.211.065,45.273.205,42.005.867,0.12,0.1,1.6,11,10,14,0.83,0.85,1.22,-7.8,2.8,0,3366,1.08,0.93,0.54,0.72,1.65,-1.860.465,-57.317.074,-12.361.265,17.709.898,926.687,4.547.228,63.575.506,3.317.499,2.05,3.1,4.24,1.492,2.65,1.617,3.85,5.83,1.719,2.15,1
,37,F,D,D2,11.028.559,88.223.416,1.131.112,7.327.174,47.938.644,41.589.024,0.11,0.1,-0.9,8,14,13,0.67,0.54,0.85,8.1,-2.1,0,3344,0.81,0.82,0.31,0.73,0.66,8.421.052,-14.215.684,33.856.606,186.153,34.094.868,1.760.591,8.715.513,-13.434.261,2.37,2.87,3.65,1.497,2.63,3.07,2.68,2.9,1.558,2.47,0
,37,E,B,E2,8.007.659,10.720.345,905.788,42.277.688,4.783.988,54.199.814,0.09,0.09,-5.3,10,13,12,0.95,0.76,1.13,19.7,4.3,0,3345,0.49,1.63,0.98,1.08,0.94,8.313.954,3.671.875,-3.881.477,15.611.667,-31.639.523,20.446.175,17.896.801,10.454.296,2.91,2.86,2.86,1.395,2.98,4.03,2.85,2.25,1.44,2.83,1
,37,F,C,D2,70.491.856,82.754.475,84.987.676,5.598.037,4.476.116,53.250.698,0.09,0.09,-1.4,7,16,12,0.96,1.05,0.93,4.3,5.7,0,3362,0.66,1.04,0.82,0.76,0.66,-527.027,10.192.307,-771.396,7.349.138,41.426.746,8.971.877,-41.375.178,14.848.874,2.72,2.67,3.32,1.362,3.14,5.41,3.07,1.862,1.389,3.01,2
,12,D,G,A1,86.912.274,9.720.322,11.940.426,13.371.639,47.309.715,4.194.804,0.07,0.12,0.6,5,4,6,0.62,0.63,1.62,-7.9,1.9,0,1436,1.15,0.63,0,0.57,0.83,18.421.055,-3.382.353,486.513,-97.705.145,12.225.824,8.762.903,-10.507.697,21.927.845,1.862,3.56,4.59,1.763,2.13,2.19,3.26,3.71,1.609,2.4,1
,12,F,H,A1,8.631.215,91.710.526,10.540.447,13.742.539,38.095.715,4.991.255,0.09,0.09,0,5,3,7,0.67,0.62,1.3,-4.2,-2.8,0,1436,0.87,1.02,0.17,1.07,0.98,-7.916.667,0,-35.860.985,51.829.295,6.760.282,-37.698.147,-98.575.795,48.986.483,2.06,3.48,3.83,1.793,2,2.73,3.26,2.78,1.719,2.19,0
,12,A,A,A1,14.431.317,13.391.906,7.214.011,4.919.226,4.879.326,49.940.662,0.12,0.11,8.3,10,4,1,1.47,1.26,0,9.5,4.5,0,1437,0.42,1.93,1.37,0.48,0.57,32.352.943,36.363.636,33.120.227,10.773.411,-5.012.599,-8.765.025,-11.886.674,13.119.389,3.46,3.26,2.29,1.714,2.2,3.78,2.87,2.38,1.526,2.61,2
,12,E,C,A2,1.276.767,71.468.925,12.702.616,10.012.308,47.095.943,29.060.081,0.12,0.1,-1,5,4,6,0.6,0.61,2.3,-7.7,3.7,0,1460,0.91,0.38,1.39,0.55,0.25,-2.105.263,6.874.999,-496.936,3.224.638,-36.261.816,-46.723.087,21.495.074,6.583.071,1.884,3.57,4.47,1.763,1.99,1.636,3.75,6.24,1.694,2.23,0
,12,B,H,E1,163.971,49.805.593,11.775.131,1.497.752,54.231.567,41.075.752,0.12,0.13,-4.4,8,1,6,2.33,1.78,0.82,-8.6,-7.4,0,1443,1.12,0.71,0,0.55,1.41,-9.999.998,0,-34.129.658,-26.884.995,21.123.781,-16.799.746,596.056,-10.030.932,1.45,4.57,7.68,2.15,1.746,1.273,5.72,12.88,2.34,1.632,0
,12,G,B,D2,11.201.676,16.107.295,11.689.051,94.845.366,4.944.542,5.642.462,0.11,0.12,-0.9,5,2,8,1.7,2.02,0.55,12.4,-2.4,0,1430,0.56,2.56,0.4,1.18,1.99,-11.764.706,12.5,-4.040.409,-1.644.144,-35.904.194,7.608.702,-23.773.468,78.423.333,4.42,3.66,1.862,2.13,1.757,4.39,3.67,1.869,2.03,1.847,1
,12,H,G,D2,5.329.471,8.647.315,15.322.863,12.930.424,4.031.515,47.240.704,0.1,0.11,-6.6,2,0,12,0.72,0.83,0.96,-5.7,-0.3,0,1343,0.9,0.58,0,0.87,0.65,75,31.249.994,-48.913.093,102.970.705,-26.400.476,17.213.118,-37.903.026,5.887.711,4.63,3.31,1.934,1.769,2.12,2.79,3.12,2.83,1.606,2.4,2
,12,E,A,D2,9.349.931,13.362.123,12.703.859,6.345.167,41.936.813,48.143.154,0.11,0.11,1.1,5,2,7,0.74,0.88,0.45,1.1,8.9,0,1362,0.61,1.18,0.44,0.7,0.98,23.529.411,12.903.232,45.857.983,-26.023.388,-26.203.526,-573.884,21.578.848,15.999.913,3.49,3.15,2.33,1.729,2.17,3.83,3.17,2.19,1.628,2.36,1
,12,F,B,C2,6.963.698,1.737.823,10.669.887,11.945.314,31.135.801,5.810.525,0.1,0.1,3.5,4,5,5,0.39,0.39,0.09,12.4,-4.4,0,1342,0.66,2.29,1.39,1.02,2.53,23.529.411,26.000.002,-3.259.259,-33.361.416,-53.299.397,-27.208.698,16.767.353,81.842.077,7.94,4.43,1.392,2.18,1.662,12.2,4.8,1.337,2.08,1.793,1
,12,B,D,C1,16.352.407,91.915.226,9.951.737,10.429.418,57.252.983,36.875.954,0.15,0.13,-3.3,8,3,3,2.51,3.3,1.76,-3,1,0,1336,1.1,0.67,2.25,0.82,0.88,-9.259.261,-8.055.556,-25.128.695,-6.142.186,12.238.058,17.411.974,30.606.073,-7.507.247,1.42,4.33,7.42,1.99,1.763,1.423,4.63,8.34,2.11,1.775,0
,12,A,G,D1,12.757.257,11.155.959,45.463.052,11.085.283,50.585.777,4.875.646,0.12,0.09,2.4,9,3,2,2.02,1.93,0.29,-0.9,0.9,0,1365,0.6,1.72,1.18,0.71,1.08,1.666.667,-17.647.058,11.639.505,-110.878.725,-32.664.604,-30.913.261,19.207.335,-12.711.567,1.505,4.33,7.01,1.8,1.943,1.526,4.2,6.93,1.869,2.01,1
,12,H,C,B2,9.633.165,13.642.582,14.518.651,13.489.822,47.983.227,48.811.584,0.09,0.11,-2.2,4,2,8,0.93,0.76,0.61,1.5,-1.5,0,1336,1.26,0.62,1.8,0.97,0.73,-25,-22.222.221,-46.439.657,-5.383.628,-20.372.257,-12.123.586,28.566.527,13.921.851,2.6,3.13,2.81,1.649,2.2,2.83,2.92,2.96,1.537,2.58,2
,14,B,C,A1,14.422.411,8.795.181,6.706.197,614.339,63.246.597,62.242.043,0.17,0.09,-4.3,4,2,1,3.45,4.41,62.48,3.8,-1.8,0,703,0.24,5.39,0,0.95,1.08,-12.5,-27.083.334,21.677.685,-36.737.256,30.517.117,17.299.356,-26.996.976,-990.352,1.877,3.74,4.05,1.769,2.07,1.769,3.43,5.21,1.636,2.29,2
,14,F,D,A2,783.463,16.322.489,89.461.833,13.456.532,42.335.804,33.969.906,0.11,0.11,0.5,1,4,2,0.43,0.37,3.36,-2.6,4.6,0,664,0.7,1.06,0.47,1.2,0.82,0,49.999.976,2.096.394,34.228.737,6.780.586,-4.958.037,-25.333.792,-84.429.085,1.884,3.4,4.51,1.666,2.24,1.97,3.2,4.4,1.564,2.45,2
,14,F,A,D2,37.090.248,15.313.433,74.859.136,24.834.208,46.188.766,667.437,0.11,0.09,-3.5,1,4,2,1.2,1.22,0.56,9.6,0.4,0,685,0.68,1.87,0.87,0.98,1.7,25,0,-27.823.242,38.011.684,-15.308.012,1.887.344,11.357.186,-15.135.866,5.74,3.51,1.694,1.609,2.35,5.2,3.01,1.917,1.414,2.89,1
,14,G,G,A1,64.110.726,6.045.296,19.149.557,1.5,46.383.118,39.432.247,0.06,0.11,-6.3,1,1,5,0.64,0.48,0.39,-7.3,0.3,0,695,1.38,0.47,0,0.1,0.74,31.249.994,-56.25,1.811.415,1.498.559,37.431.023,19.366.264,115.241.945,-47.310.054,2.19,3.25,3.56,1.68,2.21,2.18,3.09,3.82,1.632,2.3,1
,14,A,D,B1,18.254.918,14.166.081,5.098.979,10.346.961,66.934.525,4.962.482,0.11,0.12,4.1,5,0,2,2.04,2.04,2.67,1.4,1.6,0,674,1.04,0.84,1.88,4.91,0.92,50.000.033,11.363.639,23.664.478,-34.153.023,20.037.542,27.833.763,-18.722.379,4.190.005,1.259,5.9,11.58,1.98,1.862,1.271,5.62,11.7,2.08,1.769,1
,14,E,H,C1,1.056.195,5.355.348,10.681.382,2.005.653,48.933.308,41.259.373,0.1,0.14,2.5,3,1,3,0.6,0.39,0.78,-8.3,-2.7,0,665,1.2,0.53,0,0,0.59,49.999.976,-12.500.005,-10.705.129,-19.436.975,24.713.274,-11.678.292,12.598.956,14.904.082,1.322,4.96,10.74,1.775,1.97,1.39,4.68,8.48,1.925,1.909,2
,14,B,H,D1,16.222.887,3.807.398,92.605.835,11.746.361,52.212.883,4.049.291,0.12,0.1,5,4,2,1,1.23,1.99,6.25,-5.7,-0.3,0,672,1.36,0.47,0,0,0.94,25,16.666.666,3.046.334,-59.045.167,-15.765.723,-58.297.596,16.023.755,97.838.384,1.72,3.63,5.2,1.72,2.14,1.69,3.56,5.61,1.76,2.09,2
,18,D,G,B1,18.952.992,47.123.018,15.715.224,12.593.399,4.910.005,4.349.305,0.12,0.08,-2.3,2,4,1,1.72,2.94,8.96,-4.2,-0.8,0,661,1.17,0.7,1.04,0.29,0.88,49.999.976,16.666.666,-10.541.148,8.947.366,-34.238,10.080.643,-14.109.218,8.294.457,2.13,3.11,3.94,1.653,2.26,1.952,3.59,3.92,1.97,1.869,0
,18,A,E,C1,15.411.663,11.162.614,8.544.601,10.264.665,62.897.785,49.456.707,0.08,0.13,5.9,6,4,1,1.1,1.23,4.24,0.9,0.1,0,1047,0.92,0.82,1.49,1.82,0.52,0,28.333.334,8.347.254,-18.141.594,8.791.206,-8.383.939,-22.399.843,7.016.065,1.549,3.72,5.21,1.877,1.877,1.598,4.28,5.05,2.03,1.787,1
,18,E,G,C1,7.712.049,76.541.305,5.985.686,16.222.955,52.091.217,44.153.244,0.07,0.06,0.9,4,3,4,1.25,1.27,3.04,0.2,-10.2,0,1051,1.06,0.67,0.6,1.08,1.41,-26.666.668,37.499.996,22.842.632,21.030.651,-10.756.246,-2.193.418,-7.599.754,34.592.378,2.03,3.14,3.39,1.628,2.13,2.19,3.15,3.52,1.68,2.19,0
,18,F,F,A1,85.055.363,7.714.286,1.197.861,1.112.352,39.033.703,513.982,0.11,0.11,-0.1,3,2,6,0.59,0.5,0.51,0.6,-4.6,0,1051,0.82,1.02,0.13,0.55,0.82,0,0,-2.269.901,-11.868.689,19.791.666,18.737.253,1.954.096,52.749.026,2.31,2.96,3,1.632,2.13,2.64,3.34,2.63,1.694,2.17,1
,18,B,B,A1,16.377.889,15.416.012,11.184.199,93.681.043,52.092.926,4.577.272,0.1,0.08,1.7,5,4,2,2,1.72,0.32,2.5,4.5,0,1050,0.84,1.04,1.58,1.1,0.55,13.157.881,30.263.155,-66.858.387,37.674.267,-18.612.835,-9.819.374,-24.809.521,-49.028.277,1.99,3.27,3.35,1.8,1.943,1.9,3.73,3.81,2.01,1.833,1
,18,C,H,D1,143.397,85.490.245,9.295.698,13.851.448,48.515.755,5.505.265,0.1,0.09,5.9,5,4,2,1.06,1.21,1.32,1.6,-6.6,0,1047,0.52,1.96,0.38,0.71,1.02,-71.052.635,-31.250.004,-6.997.083,39.709.103,33.072.105,76.086.907,-5.433.129,11.874.014,2.26,3,3.04,1.671,2.07,2.54,3.04,2.99,1.671,2.21,0
,18,H,D,D2,60.180.753,13.547.794,17.203.794,101.685,48.445.396,54.697.292,0.09,0.13,-9.5,1,2,8,0.54,0.49,0.7,-0.3,4.3,0,1055,1.08,0.63,0,0.85,0.91,-45,37.499.996,17.336.563,22.887.028,-11.130.168,-34.163.425,-5.118.085,8.973.771,3.35,2.99,2.12,1.602,2.18,4.12,3.09,2.04,1.54,2.43,1
,18,G,D,B2,85.203.093,765.018,12.868.117,68.296.623,46.000.122,3.697.749,0.08,0.09,-2.3,3,1,7,0.42,0.45,0.56,-2,3,0,1049,0.7,1.19,0,0.66,0.8,9.999.996,-14.062.503,4.795.688,16.283.863,38.191.557,14.555.309,12.920.606,-11.375.195,2.27,2.93,3.09,1.598,2.19,2.42,2.99,3.23,1.555,2.39,1
,18,D,C,A2,13.751.861,84.842.074,12.542.896,59.545.034,55.006.165,5.369.549,0.1,0.12,1.1,4,5,2,0.85,0.86,3.53,1.2,1.8,0,1049,0.37,2.66,0,0.27,0.56,-19.117.645,-8.333.333,-13.169.829,16.742.334,924.496,56.531.136,14.303.279,25.237.918,1.751,3.46,4.08,1.714,2.01,1.909,3.43,4.13,1.549,2.41,0
,18,F,A,C2,77.494.794,16.183.267,12.071.848,10.132.173,44.107.147,60.605.984,0.1,0.14,3.3,3,4,4,0.94,0.81,0.55,6.3,0.7,0,1054,0.48,1.5,1.11,1.56,0.66,57.692.356,0,-8.236.846,-113.888.855,2.871.721,9.563.758,64.932.287,1.561.315,3.07,3.04,2.22,1.595,2.2,3.29,3.46,2.15,1.657,2.23,1
,12,F,H,A1,9.324.853,67.973.095,13.175.278,11.574.894,4.682.602,29.887.138,0.08,0.13,0.1,4,4,5,0.57,0.58,1.63,-9.2,3.2,0,1259,0.97,0.37,1.39,1.05,0.25,21.874.996,-30.357.147,9.548.789,-6.438.075,18.776.384,-24.874.882,-12.683.743,28.930.008,1.54,4.24,6.82,2.03,1.869,1.558,4.18,6.62,1.884,1.99,0
,12,A,H,E1,13.724.424,57.378.626,6.870.559,15.793.697,47.112.747,40.457.737,0.12,0.11,8.2,8,4,1,1.12,1.05,0,-8.1,-5.9,0,1249,1.23,0.74,0,0.55,1.41,16.071.423,62.5,51.013.293,-57.525.573,-3.607.203,-1.097.136,-18.573.117,494.653,1.581,4.03,6.61,1.826,1.97,1.689,3.62,6.13,1.641,2.34,0
,12,B,G,C1,17.972.907,1.056.654,12.858.884,15.018.867,56.889.267,49.667.557,0.13,0.13,-4.1,7,1,5,2.09,1.5,0.78,-3.6,-2.4,0,1244,0.87,1.08,0.17,1.05,0.98,-11.363.638,39.285.706,-4.401.076,28.007.078,15.555.547,-4.100.921,-15.639.782,2.592.206,1.253,6.27,13.49,2.25,1.699,1.413,4.89,8.35,2.06,1.813,1
,12,E,G,A1,9.262.023,11.456.125,10.724.889,11.332.854,3.672.111,478.061,0.1,0.09,0.3,5,2,6,0.73,0.69,0.59,-1.4,1.4,0,1264,0.65,1.57,1.18,0.67,1.08,-42.647.057,-39.062.504,-46.016.113,-11.832.902,56.018.276,-10.702.498,-43.371.612,-87.777.734,2.56,3.13,3.15,1.8,2.09,2.85,3.24,2.72,1.769,2.12,0
,12,C,B,B2,1.475.259,17.064.161,13.796.992,10.861.064,48.493.927,58.037.148,0.13,0.11,-1.1,5,3,5,0.62,0.64,4.34,11.7,-3.7,0,1243,0.57,2.58,0.4,1.39,1.99,26.388.887,-32.291.664,-3.460.393,-27.755.096,-21.934.599,2.225.201,8.909.879,76.182.604,4.55,3.82,1.826,1.917,1.884,4.63,3.85,1.806,1.943,1.925,2
,12,D,A,D2,99.695.355,13.261.553,12.821.106,49.381.125,419.953,49.952.103,0.11,0.11,1.2,5,2,6,0.84,1.04,0.41,9.4,2.6,0,1246,0.43,1.81,1.37,0.55,0.57,33.823.532,20.370.367,18.926.659,21.164.694,-28.315.105,-419.268,21.125.531,12.940.055,5.58,3.32,1.819,1.689,2.27,6.24,3.75,1.653,1.657,2.33,1
,37,A,D,E1,1.284.208,13.594.849,6.660.758,11.709.183,49.354.397,49.551.197,0.12,0.07,3.1,22,7,5,1.84,1.84,1.34,-4.9,11.9,0,3237,1,0.68,1.02,1.02,1.54,4.794.525,26.595.745,49.130.077,78.920.493,15.405.339,-14.339.659,7.407.421,1.895.594,1.666,3.48,6.16,1.529,2.54,1.757,3.35,5.54,1.546,2.5,2
,37,D,A,E2,8.124.203,13.134.879,5.710.312,6.025.791,53.713.955,5.361.362,0.08,0.08,3.8,11,16,7,1.03,0.88,4.95,22.1,1.9,0,3238,0.57,2.02,1.32,0.58,0.56,7.346.939,56.923.073,11.635.846,110.288.795,25.618.177,-81.477.264,2.880.066,,2.83,2.82,2.97,1.378,3.06,3.97,2.87,2.25,1.418,2.88,1
,37,C,H,F1,11.986.989,6.990.865,83.119.005,14.948.745,52.788.296,4.381.299,0.1,0.1,11,14,15,5,1.51,1.7,1.01,-19.3,-10.7,0,3262,0.77,0.73,0.73,0.33,0.52,-10.526.319,-34.615.387,49.751.205,51.560.432,47.347.183,-9.575.184,-5.874.844,-6.913.724,1.602,3.67,6.52,1.595,2.38,1.813,3.31,5.15,1.602,2.36,2
,37,D,E,C1,87.907.267,79.596.573,72.708.076,11.244.707,4.060.635,4.906.527,0.12,0.07,-1.8,11,17,6,0.84,0.81,3.89,0.7,-12.7,0,3252,0.83,1.03,0.79,1.05,1.18,-14.999.999,-797.619,-15.062.795,-3.296.937,7.837.378,4.511.949,14.560.932,-13.039.267,2.18,2.96,4.04,1.434,2.81,1.653,3.45,6.43,1.485,2.67,0
,37,G,E,D2,86.861.765,10.949.606,12.828.529,12.292.625,46.605.534,51.699.722,0.08,0.11,-0.9,5,14,15,0.47,0.42,1.19,3.8,-7.8,0,3256,0.85,1.15,2.24,0.83,1.33,-4.137.931,-40.697.678,-41.638.885,-22.472.054,31.171.116,29.960.674,6.690.523,-5.146.569,3.24,2.91,2.55,1.534,2.53,1.495,3.84,8.27,1.591,2.39,1
,37,D,D,B1,960.786,12.833.595,70.638.996,10.963.415,5.206.451,5.690.661,0.07,0.08,9.8,12,16,7,0.99,1.18,1.8,10.7,-2.7,0,3238,0.64,1.75,1.43,1.12,0.55,-15.865.387,-46.875,18.098.152,44.678.326,7.650.336,1.901.172,-51.034.194,-21.029.991,2.47,2.77,3.59,1.456,2.77,2.48,2.71,3.69,1.395,2.98,2
,37,B,C,C1,10.663.307,9.677.978,4.289.734,81.031.364,54.264.515,4.711.724,0.09,0.07,3.3,16,13,5,1.55,1.48,1.94,10,-5,0,3231,0.69,1.64,0.57,0.91,0.75,3.934.426,10.185.187,22.750.845,-30.279.177,-15.075.053,-8.979.311,-12.541.473,20.617.242,1.99,3.09,4.56,1.442,2.79,1.943,2.98,5.12,1.355,3.17,1
,37,C,D,D1,10.349.563,9.941.778,73.582.643,97.292.054,51.379.257,47.080.696,0.08,0.08,5.7,13,15,6,1.06,1.16,1.36,-2,1,0,3240,0.76,1.16,0.73,1.15,0.39,-21.296.293,-20.930.233,-14.720.906,2.855.914,-16.177.658,-11.208.739,2.386.505,-4.569.718,1.943,3.15,4.68,1.467,2.73,1.862,3.15,5.21,1.452,2.78,1
,37,F,F,A1,80.108.416,11.058.303,1.129.667,11.338.788,42.054.546,47.744.324,0.09,0.1,10.6,8,14,12,0.94,1.16,0.51,2,-3,0,3262,1.07,0.73,1.87,1.2,0.61,-32.894.737,60.810.818,-2.370.642,31.521.746,-25.446.426,28.060.251,-58.961.928,65.528.727,2.55,2.91,3.24,1.471,2.71,2.96,2.65,3.05,1.39,3,1
,37,E,C,D2,10.358.251,92.622.703,11.547.742,73.681.736,41.947.216,5.243.694,0.12,0.12,3.5,9,14,11,1,1.06,1.16,2.8,4.2,0,3244,0.74,1.26,1.35,0.71,0.88,-58.536.583,-16.666.668,-37.038.223,-22.488.623,66.984.566,28.426.691,43.552.983,-39.008.367,2.92,2.91,2.8,1.431,2.83,4.83,2.96,1.99,1.438,2.8,0
,37,F,F,A1,8.489.036,7.242.897,10.643.319,8.148.252,48.990.936,45.141.838,0.09,0.11,-0.8,8,14,12,0.81,0.9,1.37,-2.7,-0.3,0,3261,0.73,0.98,0.4,1.08,0.66,101.315.796,-5.405.405,21.707.071,-17.964.535,32.382.782,23.685.135,11.654.854,-2.354.913,2.39,2.89,3.56,1.44,2.79,2.13,2.74,4.73,1.375,3.07,2
,37,F,E,C2,9.969.453,8.217.812,13.996.164,90.593.666,44.840.355,4.739.509,0.08,0.12,2.7,8,12,14,0.66,0.58,0.45,3.9,-4.9,0,3241,0.82,0.95,0.8,0.86,0.71,-55.555.606,13.720.929,20.871.826,-8.275.255,16.189.592,-37.534.767,3.289.256,14.534.333,2.59,2.93,3.15,1.485,2.67,3.4,2.8,2.55,1.45,2.79,1
,37,F,G,A1,8.271.178,10.184.085,11.539.849,13.212.306,45.546.635,39.920.116,0.09,0.12,-0.2,6,13,15,0.63,0.74,0.93,-7.8,-2.2,0,3243,0.94,0.73,0.91,1.1,0.36,-17.741.934,-12.068.963,-7.422.487,7.602.937,40.719.997,-8.519.423,4.717.691,-62.608.606,2.55,3.02,3.12,1.555,2.47,3.52,1.934,4.08,1.316,3.42,2
,37,C,C,A1,9.925.987,1.281.692,88.492.715,94.543.254,48.279.896,48.979.996,0.1,0.08,-3.6,15,9,10,1.41,1.32,2.93,2.6,8.4,0,3249,0.73,1.03,1.04,1.09,0.79,5.740.741,12.264.147,312.921,-15.282.918,-25.538.013,54.622.467,30.078.018,46.176.594,2.15,3.05,3.97,1.487,2.66,2.09,2.86,4.36,1.558,2.46,1
,37,F,E,A2,9.862.822,10.452.956,12.927.707,10.712.461,4.683.109,4.505.678,0.1,0.1,-7.7,7,16,11,1.21,1.25,0.82,-1.5,0.5,0,3244,0.93,0.83,1.56,0.81,0.58,8.378.379,-78.75,-17.284.298,-9.345.543,-14.666.552,14.294.415,36.384.387,-39.228.302,2.37,2.87,3.65,1.497,2.63,2.36,2.77,3.66,1.476,2.7,2
,37,F,D,C2,87.543.887,11.773.912,1.311.156,10.279.834,4.521.426,4.535.305,0.09,0.11,-6.9,8,11,15,0.62,0.61,1.06,-6.3,2.3,0,3168,0.93,0.86,0,0.61,0.33,6.999.999,-20.930.233,16.863.588,-13.274.937,-4.216.601,8.009.347,15.781.496,89.660.645,2.79,2.99,2.86,1.507,2.6,2.86,2.73,2.93,1.431,2.83,1
