,season_teams_count,position_class_team_1,position_class_team_2,diff_points_class,team_1_xg90_performance,team_2_xg90_performance,team_1_xga90_performance,team_2_xga90_performance,team_1_tsr_avg,team_2_tsr_avg,team1_all_classic_xgsh,team1_all_classic_xgash,team1_all_classic_gdxgd,team1_all_classic_wins,team1_all_classic_draw,team1_all_classic_defeat,team1_all_xg90_draw_xgxga,team1_all_xg90_zero_xgxga,team1_all_xg90_com_xgxga,team2_all_classic_xgd,team2_all_classic_gdxgd,team2_all_classic_xp,team2_all_classic_minutes,team2_all_xg90_draw_xga90,team2_all_xg90_draw_xgxga,team2_all_xg90_cxp_xg90,team2_all_xg90_cop_xg90,team2_all_five_draw_xg90,team_1_points_difference4,team_2_points_difference4,team_1_xg90_performance_diff4,team_2_xg90_performance_diff4,team_1_xga90_performance_diff4,team_2_xga90_performance_diff4,team_1_lucky_l4,team_2_lucky_l4,odds_open_win1,odds_open_draw,odds_open_win2,odds_open_tm25,odds_open_tb25,odds_close_win1,odds_close_draw,odds_close_win2,odds_close_tm25,odds_close_tb25,result_output
,18,A,E,D1,16.412.245,12.059.458,798.719,9.943.762,60.559.258,54.113.983,0.09,0.12,8.6,8,4,1,1.43,1.37,4.25,0.9,2.1,0,1245,1.06,0.75,0,0.88,0.91,16.071.423,33.823.532,-44.916.506,29.460.577,-13.427.951,-3.489.811,17.228.035,-6.476.176,1.961,3.27,3.45,1.709,2.01,1.8,3.66,4.36,1.833,2.01,1
,18,B,B,A1,13.088.088,14.224.497,77.137.107,10.465.791,4.917.145,53.466.755,0.1,0.1,7.5,6,5,2,1.12,1.28,1.36,1,4,0,1236,1.02,0.92,0.05,0.52,0.82,-29.347.824,-10.869.539,42.949.758,-28.839.085,30.396.982,-1.970.713,7.371.509,6.023.171,2.88,2.92,2.41,1.598,2.19,2.59,2.86,3.1,1.515,2.5,2
,24,D,F,D1,1.015.348,7.279.008,10.181.296,13.313.626,51.100.796,41.641.926,0.1,0.11,0.9,5,5,3,1.21,2.1,0.72,-2.7,-4.3,0,1157,1.06,0.77,0,1.15,0.64,-25.000.017,0,-22.741.623,5.010.592,23.904.978,-18.877.619,17.013.669,-44.955.146,1.746,3.9,4.82,1.925,1.862,2.01,3.62,3.84,2.03,1.847,1
,24,F,D,C2,10.023.947,11.808.809,12.236.925,83.713.496,5.535.835,47.147.125,0.1,0.09,-6.3,3,3,6,1.91,3.77,1.79,5.4,-1.4,0,1151,0.93,1.26,1.3,0.33,1.15,25,-3.684.211,18.322.971,2.845.316,-22.451.084,2.757.685,-10.237.557,-407.089,1.746,3.76,5.09,1.793,2,1.787,3.6,5.01,1.751,2.14,1
,24,B,C,A1,12.883.047,13.942.893,6.852.295,8.399.674,51.863.342,51.821.335,0.1,0.1,5.5,7,3,2,1.47,1.26,1.16,4.2,2.8,0,1154,0.69,1.48,0.81,1.05,0.78,-12.5,0,-27.345.455,25.294.119,38.639.687,16.223.402,33.502.913,-22.022.367,2.06,3.5,3.82,1.8,1.99,2.38,3.35,3.18,1.8,2.07,2
,24,G,C,D2,6.259.259,11.574.426,14.203.107,10.034.482,4.427.151,51.815.247,0.09,0.12,-1.1,2,2,8,0.38,0.39,0.45,2.6,-0.6,0,1158,0.56,1.82,1.54,0.7,0.89,124.999.985,-5.714.286,1.964.498,-67.600.837,17.332.127,-35.038.647,3.346.684,-88.483.965,2.39,3.13,3.39,1.704,2.21,2.75,3.07,2.92,1.609,2.39,2
,24,A,B,A1,15.480.934,17.007.357,53.492.177,1.034.994,6.219.445,52.905.144,0.11,0.15,9,9,2,1,1.28,0.93,12.18,0.8,8.2,0,1262,0.79,1.62,0.85,1.1,1.95,-2.758.621,-25,-16.176.472,-40.314.137,-1.616.463,-26.977.495,-4.387.943,-2.590.956,2.07,3.27,4.08,1.625,2.37,1.909,3.29,4.83,1.537,2.58,2
,24,F,A,E2,3.101.315,13.314.068,9.235.169,7.467.248,49.151.127,6.445.772,0.08,0.1,-4.2,2,5,5,0.84,0.93,0.59,11.1,-2.1,0,1242,0.66,1.87,0.8,1.83,1.49,36.363.636,2.580.645,-21.446.394,15.633.421,-26.218.954,-51.296.925,96.088.797,7.537.917,3.3,3.12,2.44,1.625,2.37,4.57,3.2,1.99,1.523,2.62,2
,24,H,F,B2,7.739.638,8.522.238,17.002.573,12.104.806,32.501.797,51.771.667,0.09,0.11,0,1,3,8,0.49,0.49,0.52,-1.4,-3.6,0,1265,1.02,0.7,0.79,0.66,0.3,0,18.181.818,-25.104.609,25.757.572,30.509.905,26.423.573,-24.982.864,23.013.192,2.62,3.43,2.78,1.833,1.952,2.73,3.51,2.62,1.833,2.05,2
,24,C,D,A1,13.574.501,13.355.706,9.389.482,11.799.614,48.163.628,39.801.414,0.13,0.08,-2.4,5,6,1,1.56,1.34,1.63,0.4,1.6,0,1250,1.02,0.82,2.58,0.54,0.59,14.285.715,8.333.336,-6.002.315,42.085.423,12.609.325,-23.634.256,2.742.853,-22.519.636,2.07,3.51,3.76,1.833,1.943,2.14,3.41,3.66,1.746,2.14,2
